layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
44,Conv2d,0.05169051944616898,128,256,2.0,1.9279044555368907,2.6411371745216723,0.7288424999614581,True,23.439714431762695,conv2d,2.753153699637322,1.943901806585686,1.3699523163279155,encoder.residual_stack.stack.0.res_block.3,128,87.88237934559584,128,57,0,1,0.1229039475623434,23.439714431762695,3.7492939430400294,success,4.841457843780518,0.13620097935199738,over-trained,0,23.439714431762695,0.24281999468803406
48,Conv2d,0.037796397770354484,128,256,2.0,2.6994993880533684,3.4319961115304567,0.9533441255618433,True,18.678646087646484,conv2d,4.41923339375226,3.0398557924462613,1.2713453934158132,encoder.residual_stack.stack.1.res_block.1,1152,1096.114170819521,1152,148,0,9,0.1396979891610241,18.678646087646484,58.682742082921045,success,4.321879863739014,0.2015598863363266,,0,18.678646087646484,1.7769066095352173
50,Conv2d,0.07995813393380602,128,256,2.0,2.236486715370443,2.5653500420755204,0.8172383928679369,True,14.02957820892334,conv2d,2.776743098157678,1.9744872176812933,1.1470446144146247,encoder.residual_stack.stack.1.res_block.3,128,94.29468578845263,128,33,0,1,0.21524470903204687,14.02957820892334,6.721134761448328,success,3.745607852935791,0.15585795044898987,,0,14.02957820892334,0.7193447947502136
54,Conv2d,0.028642354269371118,128,256,2.0,2.444088901314398,3.5639557026480153,0.9257509922117737,True,28.720630645751953,conv2d,4.468769582921903,3.061007405278865,1.458193971885134,encoder.residual_stack.stack.2.res_block.1,1152,1150.820011736825,1152,194,0,9,0.10367954084679977,28.720630645751953,40.06945480868269,success,5.359163284301758,0.19753354787826538,,0,28.720630645751953,1.3693233728408813
56,Conv2d,0.048518721241130824,128,256,2.0,1.8098648767917873,2.895815238489577,0.6529102379814127,True,39.81230926513672,conv2d,2.975890697940672,2.0501275796216905,1.600017369044021,encoder.residual_stack.stack.2.res_block.3,128,112.23481101542711,128,66,0,1,0.09968747517609469,39.81230926513672,2.819098240897825,success,6.309699535369873,0.12512730062007904,over-trained,0,39.81230926513672,0.1809728890657425
58,Conv2d,0.07952101205339035,64,128,2.0,1.6466868950094602,2.2193483226321145,0.829978575164888,True,22.2723388671875,conv2d,2.9991597451726575,2.5887775498804815,1.3477658256455392,encoder.compress.0,576,387.95160227268934,576,312,0,9,0.036611435975074456,22.2723388671875,17.418538959293365,success,4.719357967376709,0.12274909019470215,over-trained,0,22.2723388671875,0.11455343663692474
61,Conv2d,0.07353491558577285,16,64,4.0,1.5016097479842938,0.9544260278678526,0.5726078206424893,True,4.321175575256348,conv2d,1.3135260988148623,1.2150139785770222,0.6356019126467708,encoder.compress.3,144,16.406425794877578,144,120,0,9,0.045790495672579874,4.321175575256348,3.7967505622365945,success,2.0787436962127686,0.038026031106710434,over-trained,0,4.321175575256348,0.0019046947127208114
68,Conv2d,0.07787845586700959,16,64,4.0,1.8795747367515492,2.017196183117544,0.8045800907722321,True,11.836395263671875,conv2d,2.6708711035328156,2.1048909720337843,1.0732194595272357,decoder.expand.0,144,127.31834130734205,144,115,0,9,0.08202076712275279,11.836395263671875,10.75651315042731,success,3.440406322479248,0.3235292136669159,over-trained,0,11.836395263671875,0.1571035087108612
71,Conv2d,0.07556883987422158,64,128,2.0,3.800424832207157,5.37588493837393,0.900706125788535,True,25.974573135375977,conv2d,5.656285590132849,2.9214460121598567,1.4145484191176068,decoder.expand.3,576,834.5377991031855,576,33,0,9,0.48749139047075035,25.974573135375977,32.12902844461339,success,5.0965256690979,0.22095143795013428,,0,25.974573135375977,6.017704010009766
76,Conv2d,0.06559844257988706,128,512,4.0,3.0608351355637935,7.032575837411777,0.9409445982069664,True,198.4268035888672,conv2d,7.30673397305938,3.80430673192995,2.297600336489997,decoder.upsample_blocks.0.0,1152,6372.454333990812,1152,71,0,9,0.24457613394485533,198.4268035888672,32.114886793188965,success,14.086404800415039,0.4301183819770813,,0,198.4268035888672,20.01933479309082
